Group,Effort_Hours,Quality_Score,Success
G1,6.4159,88.05,1
G1,5.5897,85.61,1
G1,6.0235,78.22,1
G1,6.2722,87.61,1
G1,5.7140,73.57,0
G1,5.7189,75.57,1
G1,6.0660,80.03,1
G1,5.9765,84.92,1
G1,6.1606,86.60,1
G1,5.8734,80.54,1
G1,5.7858,79.71,1
G1,5.5635,85.97,1
G2,3.5000,40.63,0
G2,3.5000,30.05,0
G2,3.5000,30.14,0
G2,3.5000,57.61,0
G2,3.5000,43.85,0
G2,3.5000,40.36,0
G2,3.5000,46.17,0
G2,3.5000,43.98,0
G2,3.5000,19.33,0
G2,3.5000,46.74,0
G2,3.5000,52.11,0
G2,3.5000,19.43,0
G3,2.9499,93.18,1
G3,2.8919,97.98,1
G3,1.6872,92.39,1
G3,3.1315,92.89,1
G3,3.1495,92.15,1
G3,2.9824,99.62,1
G3,2.7653,92.05,1
G3,4.1841,92.61,1
G3,3.2739,99.88,1
G3,3.4238,98.65,1
G3,3.3511,92.11,1
G3,2.9294,95.29,1
G4,2.9657,81.70,1
G4,3.0258,80.84,1
G4,3.6722,72.26,0
G4,3.5200,78.11,1
G4,3.2718,79.38,1
G4,3.5486,79.30,1
G4,3.2873,78.03,1
G4,3.5721,88.37,1
G4,3.2809,82.38,1
G4,3.1755,76.55,1
G4,4.6496,85.04,1
G4,3.0705,75.64,1
